规则ID,规则名称,触发期号,触发号码,下期1号码,下期2号码,下期3号码,1期命中,2期命中,3期命中
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025163,636,337,609,808,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025165,609,808,702,514,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025175,616,122,497,728,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025192,691,876,726,980,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025216,625,894,526,900,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025227,611,465,108,439,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025234,620,969,355,590,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025244,673,848,997,262,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025258,626,625,199,751,否,否,是
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025259,625,199,751,914,否,是,是
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025268,674,055,408,727,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025278,629,752,411,897,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025283,664,844,172,827,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025306,697,164,448,190,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025311,640,689,664,917,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025312,689,664,917,729,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025313,664,917,729,775,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025324,661,165,185,789,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025336,641,876,689,676,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025338,689,676,130,996,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025339,676,130,996,681,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025342,681,645,622,630,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025343,645,622,630,897,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025344,622,630,897,192,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025345,630,897,192,278,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026003,601,019,476,244,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026010,667,647,241,513,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026011,647,241,513,050,否,否,是
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026020,676,559,678,784,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026022,678,784,911,029,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026048,612,110,689,302,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026050,689,302,277,755,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026064,604,057,934,695,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026067,695,706,908,484,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026088,608,922,816,537,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026096,689,818,513,877,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2026103,661,,,,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024005,806,212,633,423,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024020,868,446,285,247,否,是,是
2,规则2: 百位=8 → 包含胆码5,2024027,849,662,094,935,否,否,是
2,规则2: 百位=8 → 包含胆码5,2024034,856,045,265,460,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024049,811,634,340,310,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024057,805,469,758,897,否,是,是
2,规则2: 百位=8 → 包含胆码5,2024060,897,406,377,349,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024083,899,219,490,532,否,否,是
2,规则2: 百位=8 → 包含胆码5,2024090,890,564,071,647,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024116,851,989,343,508,否,否,是
2,规则2: 百位=8 → 包含胆码5,2024142,813,955,816,756,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024144,816,756,180,225,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024152,848,287,834,411,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024154,834,411,180,126,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024158,821,212,690,468,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024182,884,443,933,306,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024201,843,552,172,390,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024206,818,892,281,676,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024207,892,281,676,449,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024225,884,380,312,298,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024244,863,741,710,783,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024248,861,449,253,156,否,是,是
2,规则2: 百位=8 → 包含胆码5,2024273,833,172,827,086,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024275,827,086,684,221,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024288,839,989,911,426,否,否,否
2,规则2: 百位=8 → 包含胆码5,2024296,816,372,055,949,否,是,是
2,规则2: 百位=8 → 包含胆码5,2024315,802,789,386,525,否,否,是
2,规则2: 百位=8 → 包含胆码5,2024322,867,536,384,158,是,是,是
2,规则2: 百位=8 → 包含胆码5,2024337,843,977,509,278,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025006,898,141,260,416,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025018,836,710,056,468,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025038,847,932,428,401,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025050,806,905,585,895,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025053,895,497,368,492,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025059,847,938,476,810,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025062,810,405,928,538,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025087,826,022,658,159,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025104,877,015,752,027,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025109,841,914,270,954,否,否,是
2,规则2: 百位=8 → 包含胆码5,2025117,849,621,315,912,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025124,809,351,320,431,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025128,814,915,204,203,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025137,838,296,598,149,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025146,897,321,838,734,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025148,838,734,321,718,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025166,808,702,514,978,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025181,886,708,744,799,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025193,876,726,980,734,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025198,898,943,015,846,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025201,846,953,013,007,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025211,897,456,381,920,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025215,853,625,894,526,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025217,894,526,900,536,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025225,806,180,611,465,否,否,是
2,规则2: 百位=8 → 包含胆码5,2025238,860,125,419,160,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025245,848,997,262,526,否,否,是
2,规则2: 百位=8 → 包含胆码5,2025251,868,792,457,072,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025257,860,626,625,199,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025281,897,416,664,844,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025284,844,172,827,805,否,否,是
2,规则2: 百位=8 → 包含胆码5,2025286,827,805,767,473,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025287,805,767,473,332,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025300,867,755,715,933,是,是,是
2,规则2: 百位=8 → 包含胆码5,2025321,847,226,551,661,否,是,是
2,规则2: 百位=8 → 包含胆码5,2025332,885,273,198,051,否,否,是
2,规则2: 百位=8 → 包含胆码5,2025337,876,689,676,130,否,否,否
2,规则2: 百位=8 → 包含胆码5,2025346,897,192,278,743,否,否,否
2,规则2: 百位=8 → 包含胆码5,2026042,854,765,589,181,是,是,是
2,规则2: 百位=8 → 包含胆码5,2026075,816,863,112,049,否,否,否
2,规则2: 百位=8 → 包含胆码5,2026076,863,112,049,233,否,否,否
2,规则2: 百位=8 → 包含胆码5,2026080,802,827,942,506,否,否,是
2,规则2: 百位=8 → 包含胆码5,2026081,827,942,506,456,否,是,是
2,规则2: 百位=8 → 包含胆码5,2026090,816,537,870,518,是,是,是
2,规则2: 百位=8 → 包含胆码5,2026092,870,518,418,022,是,是,是
2,规则2: 百位=8 → 包含胆码5,2026097,818,513,877,414,是,是,是
2,规则2: 百位=8 → 包含胆码5,2026099,877,414,584,420,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024011,927,590,468,251,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024016,920,659,430,953,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024019,953,868,446,285,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024030,935,060,995,945,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024032,995,945,856,045,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024033,945,856,045,265,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024072,977,258,041,254,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024079,931,775,108,920,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024082,920,899,219,490,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024100,936,594,339,984,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024103,984,579,976,127,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024105,976,127,062,432,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024117,989,343,508,549,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024137,982,955,748,536,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024138,955,748,536,256,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024143,955,816,756,180,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024172,908,449,236,488,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024180,918,230,884,443,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024184,933,306,579,380,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024188,956,530,410,382,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024229,911,497,938,012,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024231,938,012,397,715,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024243,955,863,741,710,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024260,926,766,465,292,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024268,931,388,699,795,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024281,900,983,419,342,否,否,是
3,规则3: 百位=9 → 包含胆码2,2024282,983,419,342,718,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024289,989,911,426,462,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024290,911,426,462,521,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024299,949,666,435,516,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024305,966,296,579,654,是,是,是
3,规则3: 百位=9 → 包含胆码2,2024329,910,167,964,765,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024331,964,765,951,541,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024333,951,541,593,964,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024336,964,843,977,509,否,否,否
3,规则3: 百位=9 → 包含胆码2,2024338,977,509,278,371,否,是,是
3,规则3: 百位=9 → 包含胆码2,2024348,928,108,672,657,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025002,916,214,634,085,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025015,942,104,027,836,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025039,932,428,401,775,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025044,912,554,490,248,否,否,是
3,规则3: 百位=9 → 包含胆码2,2025051,905,585,895,497,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025060,938,476,810,405,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025064,928,538,720,385,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025069,906,748,434,272,否,否,是
3,规则3: 百位=9 → 包含胆码2,2025083,915,030,338,388,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025100,953,016,161,370,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025110,914,270,954,635,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025112,954,635,375,206,否,否,是
3,规则3: 百位=9 → 包含胆码2,2025120,912,120,488,725,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025129,915,204,203,689,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025142,916,256,666,267,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025154,923,499,775,969,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025157,969,701,073,503,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025169,978,475,113,406,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025189,907,402,202,691,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025195,980,734,057,898,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025199,943,015,846,953,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025202,953,013,007,920,否,否,是
3,规则3: 百位=9 → 包含胆码2,2025205,920,444,255,432,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025214,920,853,625,894,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025219,900,536,296,010,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025224,990,806,180,611,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025235,969,355,590,860,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025242,990,176,673,848,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025246,997,262,526,952,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025249,952,902,868,792,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025250,902,868,792,457,否,是,是
3,规则3: 百位=9 → 包含胆码2,2025262,914,399,734,546,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025272,967,045,596,203,否,否,是
3,规则3: 百位=9 → 包含胆码2,2025303,933,471,310,697,否,否,否
3,规则3: 百位=9 → 包含胆码2,2025314,917,729,775,301,是,是,是
3,规则3: 百位=9 → 包含胆码2,2025341,996,681,645,622,否,否,是
3,规则3: 百位=9 → 包含胆码2,2026017,945,494,223,676,否,是,是
3,规则3: 百位=9 → 包含胆码2,2026024,911,029,099,126,是,是,是
3,规则3: 百位=9 → 包含胆码2,2026041,901,854,765,589,否,否,否
3,规则3: 百位=9 → 包含胆码2,2026047,936,612,110,689,是,是,是
3,规则3: 百位=9 → 包含胆码2,2026060,943,429,294,517,是,是,是
3,规则3: 百位=9 → 包含胆码2,2026066,934,695,706,908,否,否,否
3,规则3: 百位=9 → 包含胆码2,2026069,908,484,261,245,否,是,是
3,规则3: 百位=9 → 包含胆码2,2026082,942,506,456,118,否,否,否
3,规则3: 百位=9 → 包含胆码2,2026087,911,608,922,816,否,是,是
3,规则3: 百位=9 → 包含胆码2,2026089,922,816,537,870,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2024007,633,423,265,437,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024010,437,927,590,468,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024015,438,920,659,430,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024018,430,953,868,446,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024030,935,060,995,945,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024040,736,315,086,257,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024046,730,420,128,811,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024050,634,340,310,478,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2024077,336,397,931,775,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024079,931,775,108,920,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024086,532,797,761,457,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024100,936,594,339,984,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024102,339,984,579,976,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024108,432,181,506,206,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024112,630,242,075,099,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024135,035,227,982,955,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024140,536,256,813,955,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024154,834,411,180,126,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024174,236,488,108,460,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2024181,230,884,443,933,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024184,933,306,579,380,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024189,530,410,382,676,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024194,137,725,056,224,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024231,938,012,397,715,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024268,931,388,699,795,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024273,833,172,827,086,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024288,839,989,911,426,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024301,435,516,336,169,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2024303,336,169,966,296,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2024309,539,603,067,754,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2024323,536,384,158,722,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2025004,634,085,898,141,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025010,333,518,487,606,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2025018,836,710,056,468,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2025022,638,591,762,486,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025037,131,847,932,428,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025039,932,428,401,775,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025060,938,476,810,405,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2025065,538,720,385,555,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025071,434,272,778,419,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025084,030,338,388,826,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2025085,338,388,826,022,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025091,135,317,545,649,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2025113,635,375,206,320,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025127,431,814,915,204,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025137,838,296,598,149,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025148,838,734,321,718,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025149,734,321,718,210,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025163,636,337,609,808,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025164,337,609,808,702,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025174,533,616,122,497,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025196,734,057,898,943,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025208,432,387,520,897,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025220,536,296,010,736,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025223,736,990,806,180,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025230,439,732,044,259,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025231,732,044,259,620,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025264,734,546,723,391,否,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025290,332,794,117,154,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025296,537,051,544,385,否,否,否
4,规则4: 十位=3 → 包含胆码2或9,2025303,933,471,310,697,否,否,是
4,规则4: 十位=3 → 包含胆码2或9,2025318,430,294,121,847,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025340,130,996,681,645,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2025345,630,897,192,278,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026015,532,582,945,494,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026030,134,142,452,119,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026047,936,612,110,689,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026066,934,695,706,908,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026079,233,802,827,942,是,是,是
4,规则4: 十位=3 → 包含胆码2或9,2026091,537,870,518,418,否,否,否
5,规则5: 十位=0 → 出现组三,2024004,705,806,212,633,否,是,是
5,规则5: 十位=0 → 出现组三,2024005,806,212,633,423,是,是,是
5,规则5: 十位=0 → 出现组三,2024045,406,730,420,128,否,否,否
5,规则5: 十位=0 → 出现组三,2024057,805,469,758,897,否,否,否
5,规则5: 十位=0 → 出现组三,2024061,406,377,349,009,是,是,是
5,规则5: 十位=0 → 出现组三,2024064,009,469,198,709,否,否,否
5,规则5: 十位=0 → 出现组三,2024067,709,642,451,671,否,否,否
5,规则5: 十位=0 → 出现组三,2024081,108,920,899,219,否,是,是
5,规则5: 十位=0 → 出现组三,2024110,506,206,630,242,否,否,是
5,规则5: 十位=0 → 出现组三,2024111,206,630,242,075,否,是,是
5,规则5: 十位=0 → 出现组三,2024119,508,549,289,708,否,否,否
5,规则5: 十位=0 → 出现组三,2024122,708,183,787,649,否,是,是
5,规则5: 十位=0 → 出现组三,2024163,304,354,145,397,否,否,否
5,规则5: 十位=0 → 出现组三,2024169,402,225,480,908,是,是,是
5,规则5: 十位=0 → 出现组三,2024172,908,449,236,488,是,是,是
5,规则5: 十位=0 → 出现组三,2024176,108,460,581,005,否,否,是
5,规则5: 十位=0 → 出现组三,2024179,005,918,230,884,否,否,是
5,规则5: 十位=0 → 出现组三,2024185,306,579,380,956,否,否,否
5,规则5: 十位=0 → 出现组三,2024200,309,843,552,172,否,是,是
5,规则5: 十位=0 → 出现组三,2024213,009,365,483,444,否,否,否
5,规则5: 十位=0 → 出现组三,2024217,405,467,305,414,否,否,是
5,规则5: 十位=0 → 出现组三,2024219,305,414,103,564,是,是,是
5,规则5: 十位=0 → 出现组三,2024221,103,564,773,560,否,是,是
5,规则5: 十位=0 → 出现组三,2024254,409,096,749,199,否,否,是
5,规则5: 十位=0 → 出现组三,2024281,900,983,419,342,否,否,否
5,规则5: 十位=0 → 出现组三,2024310,603,067,754,095,否,否,否
